Date : 2025-07-18 01:52:11
Directory : c:\Users\kursa\source\repos\MİniERP2_form_siifirdan
Total : 279 files,  115645 codes, 11197 comments, 13604 blanks, all 140446 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| MiniERP.Web (Files)                                                                                                                               |          2 |         62 |          9 |         20 |         91 |
| MiniERP.Web\Controllers                                                                                                                           |          9 |      2,489 |         80 |        328 |      2,897 |
| MiniERP.Web\Models                                                                                                                                |          8 |      1,134 |          5 |        271 |      1,410 |
| MiniERP.Web\Services                                                                                                                              |          9 |      1,674 |         15 |        239 |      1,928 |
| MiniERP.Web\Views                                                                                                                                 |         49 |      9,882 |         15 |        563 |     10,460 |
| MiniERP.Web\Views (Files)                                                                                                                         |          2 |          6 |          0 |          2 |          8 |
| MiniERP.Web\Views\ApiTest                                                                                                                         |          2 |        340 |          0 |         25 |        365 |
| MiniERP.Web\Views\Auth                                                                                                                            |          2 |        177 |          0 |         16 |        193 |
| MiniERP.Web\Views\CariAccount                                                                                                                     |          8 |      1,626 |          1 |         66 |      1,693 |
| MiniERP.Web\Views\Dashboard                                                                                                                       |          1 |        364 |          0 |         16 |        380 |
| MiniERP.Web\Views\Home                                                                                                                            |          2 |         12 |          0 |          4 |         16 |
| MiniERP.Web\Views\Product                                                                                                                         |          4 |        708 |          5 |         38 |        751 |
| MiniERP.Web\Views\PurchaseInvoice                                                                                                                 |          5 |      1,355 |          1 |         77 |      1,433 |
| MiniERP.Web\Views\SalesInvoice                                                                                                                    |          5 |      1,495 |          1 |         95 |      1,591 |
| MiniERP.Web\Views\Shared                                                                                                                          |          4 |        338 |          2 |         35 |        375 |
| MiniERP.Web\Views\Stock                                                                                                                           |         13 |      3,320 |          5 |        182 |      3,507 |
| MiniERP.Web\Views\User                                                                                                                            |          1 |        141 |          0 |          7 |        148 |
| MiniERP.Web\wwwroot                                                                                                                               |         35 |     68,139 |      5,940 |      8,739 |     82,818 |
| MiniERP.Web\wwwroot\css                                                                                                                           |          1 |        170 |         12 |         38 |        220 |
| MiniERP.Web\wwwroot\js                                                                                                                            |          1 |          0 |          3 |          2 |          5 |
| MiniERP.Web\wwwroot\lib                                                                                                                           |         33 |     67,969 |      5,925 |      8,699 |     82,593 |
| MiniERP.Web\wwwroot\lib\bootstrap                                                                                                                 |         22 |     53,121 |      1,943 |      4,505 |     59,569 |
| MiniERP.Web\wwwroot\lib\bootstrap\dist                                                                                                            |         22 |     53,121 |      1,943 |      4,505 |     59,569 |
| MiniERP.Web\wwwroot\lib\bootstrap\dist\css                                                                                                        |         16 |     40,882 |        108 |      3,300 |     44,290 |
| MiniERP.Web\wwwroot\lib\bootstrap\dist\js                                                                                                         |          6 |     12,239 |      1,835 |      1,205 |     15,279 |
| MiniERP.Web\wwwroot\lib\jquery                                                                                                                    |          4 |     12,150 |      3,447 |      3,744 |     19,341 |
| MiniERP.Web\wwwroot\lib\jquery-validation                                                                                                         |          5 |      2,391 |        452 |        396 |      3,239 |
| MiniERP.Web\wwwroot\lib\jquery-validation (Files)                                                                                                 |          1 |         18 |          0 |          5 |         23 |
| MiniERP.Web\wwwroot\lib\jquery-validation-unobtrusive                                                                                             |          2 |        307 |         83 |         54 |        444 |
| MiniERP.Web\wwwroot\lib\jquery-validation-unobtrusive\dist                                                                                        |          2 |        307 |         83 |         54 |        444 |
| MiniERP.Web\wwwroot\lib\jquery-validation\dist                                                                                                    |          4 |      2,373 |        452 |        391 |      3,216 |
| MiniERP.Web\wwwroot\lib\jquery\dist                                                                                                               |          4 |     12,150 |      3,447 |      3,744 |     19,341 |
| MiniERP.WinForms                                                                                                                                  |         70 |     19,623 |      4,321 |      1,404 |     25,348 |
| MiniERP.WinForms (Files)                                                                                                                          |          2 |         26 |          5 |          7 |         38 |
| MiniERP.WinForms\DTOs                                                                                                                             |          8 |        578 |          0 |         59 |        637 |
| MiniERP.WinForms\Forms                                                                                                                            |         58 |     18,811 |      4,316 |      1,315 |     24,442 |
| MiniERP.WinForms\Services                                                                                                                         |          2 |        208 |          0 |         23 |        231 |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------+---------------+------------+------------+------------+------------+
| filename                                                                                                                                          | language      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+---------------+------------+------------+------------+------------+
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\Database\Database_Documentation.md                                                            | Markdown      |        106 |          0 |         28 |        134 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\Database\MiniERP_Clean.sql                                                                    | MS SQL        |        350 |          9 |         33 |        392 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\Database\Test_Data_Insert.sql                                                                 | MS SQL        |        295 |         69 |         72 |        436 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\Database\Update_Test_Users.sql                                                                | MS SQL        |        105 |         17 |         29 |        151 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\CariAccountService.cs                                                             | C#            |          3 |          0 |          0 |          3 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\AuthController.cs                                                     | C#            |        145 |         37 |         31 |        213 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\CariAccountsController.cs                                             | C#            |        324 |         72 |         86 |        482 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\CariTypeController.cs                                                 | C#            |        208 |         27 |         30 |        265 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\CollectionController.cs                                               | C#            |        163 |         36 |         38 |        237 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\PaymentController.cs                                                  | C#            |        176 |         39 |         41 |        256 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\PaymentTypeController.cs                                              | C#            |        209 |         26 |         30 |        265 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\ProductCategoryController.cs                                          | C#            |        205 |         27 |         30 |        262 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\ProductsController.cs                                                 | C#            |        785 |          0 |          0 |        785 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\PurchaseInvoicesController.cs                                         | C#            |        185 |         57 |         29 |        271 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\SalesInvoicesController.cs                                            | C#            |        178 |         54 |         29 |        261 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\StockController.cs                                                    | C#            |        361 |        108 |         68 |        537 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\UnitController.cs                                                     | C#            |        207 |         27 |         30 |        264 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Controllers\UserController.cs                                                     | C#            |        216 |         47 |         56 |        319 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\CariAccountDto.cs                                                            | C#            |        151 |          0 |         29 |        180 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\CommonDto.cs                                                                 | C#            |        187 |          0 |         20 |        207 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\InvoiceCancellationDto.cs                                                    | C#            |          7 |          0 |          0 |          7 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\InvoiceDto.cs                                                                | C#            |        143 |          0 |         11 |        154 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\PaymentDto.cs                                                                | C#            |        124 |          0 |         11 |        135 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\ProductDto.cs                                                                | C#            |         88 |          0 |          8 |         96 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\ReserveStockDto.cs                                                           | C#            |          9 |          0 |          0 |          9 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\StockDto.cs                                                                  | C#            |        144 |          0 |         11 |        155 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\UpdateStockDto.cs                                                            | C#            |         10 |          0 |          0 |         10 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\DTOs\UserDto.cs                                                                   | C#            |         46 |          0 |          5 |         51 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Data\AppDbContext.cs                                                              | C#            |        206 |          4 |         53 |        263 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Extensions\ModelStateExtensions.cs                                                | C#            |         25 |          0 |          4 |         29 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Mappings\AutoMapperProfile.cs                                                     | C#            |        134 |         18 |         18 |        170 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Middleware\GlobalExceptionHandlingMiddleware.cs                                   | C#            |         71 |          0 |         15 |         86 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\MiniERP.API.csproj                                                                | XML           |         20 |          0 |          4 |         24 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\CariAccount.cs                                                             | C#            |         47 |          1 |         18 |         66 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\CariTransaction.cs                                                         | C#            |         31 |          1 |         11 |         43 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\CariType.cs                                                                | C#            |         23 |          1 |          8 |         32 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\Collection.cs                                                              | C#            |         33 |          1 |         12 |         46 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\Payment.cs                                                                 | C#            |         33 |          1 |         12 |         46 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\PaymentType.cs                                                             | C#            |         24 |          1 |          8 |         33 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\Product.cs                                                                 | C#            |         41 |          1 |         16 |         58 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\ProductCategory.cs                                                         | C#            |         23 |          1 |          8 |         32 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\PurchaseInvoice.cs                                                         | C#            |         38 |          1 |         16 |         55 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\PurchaseInvoiceDetail.cs                                                   | C#            |         41 |          1 |         14 |         56 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\Role.cs                                                                    | C#            |         20 |          1 |          7 |         28 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\SalesInvoice.cs                                                            | C#            |         38 |          1 |         16 |         55 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\SalesInvoiceDetail.cs                                                      | C#            |         41 |          1 |         14 |         56 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\StockCard.cs                                                               | C#            |         26 |          1 |         10 |         37 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\StockTransaction.cs                                                        | C#            |         39 |          1 |         15 |         55 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\Unit.cs                                                                    | C#            |         21 |          1 |          7 |         29 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\User.cs                                                                    | C#            |         27 |          1 |         10 |         38 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\UserRole.cs                                                                | C#            |         20 |          1 |          6 |         27 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\Warehouse.cs                                                               | C#            |         30 |          1 |         10 |         41 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Program.cs                                                                        | C#            |        134 |         14 |         26 |        174 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\CariAccountRepository.cs                                             | C#            |        117 |          0 |         19 |        136 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\CollectionRepository.cs                                              | C#            |        112 |          0 |         17 |        129 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\GenericRepository.cs                                                 | C#            |        112 |          0 |         27 |        139 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\ICariAccountRepository.cs                                            | C#            |         19 |          0 |          1 |         20 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\ICollectionRepository.cs                                             | C#            |         17 |          0 |          1 |         18 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IGenericRepository.cs                                                | C#            |         26 |          0 |          1 |         27 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IPaymentRepository.cs                                                | C#            |         17 |          0 |          1 |         18 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IProductRepository.cs                                                | C#            |         18 |          0 |          1 |         19 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IPurchaseInvoiceRepository.cs                                        | C#            |         21 |          0 |          1 |         22 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\ISalesInvoiceRepository.cs                                           | C#            |         22 |          0 |          1 |         23 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IStockCardRepository.cs                                              | C#            |         22 |          0 |          1 |         23 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IStockTransactionRepository.cs                                       | C#            |         19 |          0 |          1 |         20 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IUnitOfWork.cs                                                       | C#            |         28 |          0 |          1 |         29 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IUserRepository.cs                                                   | C#            |         17 |          0 |          1 |         18 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IWarehouseRepository.cs                                              | C#            |         15 |          0 |          1 |         16 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\PaymentRepository.cs                                                 | C#            |        112 |          0 |         17 |        129 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\ProductRepository.cs                                                 | C#            |        109 |          0 |         14 |        123 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\PurchaseInvoiceRepository.cs                                         | C#            |        154 |          1 |         33 |        188 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\SalesInvoiceRepository.cs                                            | C#            |        162 |          1 |         34 |        197 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\StockCardRepository.cs                                               | C#            |        172 |          0 |         26 |        198 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\StockTransactionRepository.cs                                        | C#            |        139 |          0 |         25 |        164 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\UnitOfWork.cs                                                        | C#            |         82 |          1 |          9 |         92 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\UserRepository.cs                                                    | C#            |         98 |          4 |         17 |        119 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\WarehouseRepository.cs                                               | C#            |         68 |          0 |          9 |         77 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\AuthService.cs                                                           | C#            |        344 |         11 |         48 |        403 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\CariAccountService.cs                                                    | C#            |        619 |          0 |          0 |        619 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\CollectionService.cs                                                     | C#            |        309 |         13 |         52 |        374 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\IAuthService.cs                                                          | C#            |         16 |          0 |          1 |         17 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\ICariAccountService.cs                                                   | C#            |         30 |          4 |          4 |         38 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\ICollectionService.cs                                                    | C#            |         19 |          0 |          1 |         20 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\IPaymentService.cs                                                       | C#            |         20 |          0 |          1 |         21 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\IProductService.cs                                                       | C#            |         26 |          3 |          3 |         32 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\IPurchaseInvoiceService.cs                                               | C#            |         26 |          5 |          5 |         36 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\ISalesInvoiceService.cs                                                  | C#            |         25 |          5 |          5 |         35 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\IStockService.cs                                                         | C#            |         43 |          6 |          6 |         55 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\IUserService.cs                                                          | C#            |         20 |          0 |          1 |         21 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\PaymentService.cs                                                        | C#            |        337 |         13 |         57 |        407 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\ProductService.cs                                                        | C#            |        434 |          5 |         73 |        512 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\PurchaseInvoiceService.cs                                                | C#            |        408 |          9 |         60 |        477 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\SalesInvoiceService.cs                                                   | C#            |        458 |         15 |         89 |        562 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\StockService.cs                                                          | C#            |        652 |          4 |         87 |        743 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\UserService.cs                                                           | C#            |        294 |          5 |         49 |        348 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Controllers\ApiTestController.cs                                                  | C#            |        340 |          8 |         39 |        387 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Controllers\AuthController.cs                                                     | C#            |        163 |          4 |         27 |        194 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Controllers\CariAccountController.cs                                              | C#            |        205 |         16 |         37 |        258 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Controllers\DashboardController.cs                                                | C#            |         96 |          9 |         13 |        118 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Controllers\ProductController.cs                                                  | C#            |        267 |          1 |         29 |        297 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Controllers\PurchaseInvoiceController.cs                                          | C#            |        265 |         17 |         44 |        326 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Controllers\SalesInvoiceController.cs                                             | C#            |        253 |         15 |         41 |        309 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Controllers\StockController.cs                                                    | C#            |        699 |          2 |         78 |        779 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Controllers\UserController.cs                                                     | C#            |        201 |          8 |         20 |        229 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\MiniERP.Web.csproj                                                                | XML           |         11 |          0 |          4 |         15 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Models\ApiResponse.cs                                                             | C#            |         61 |          0 |          6 |         67 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Models\CariAccountModels.cs                                                       | C#            |        123 |          0 |         26 |        149 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Models\ErrorViewModel.cs                                                          | C#            |          6 |          0 |          3 |          9 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Models\InvoiceModels.cs                                                           | C#            |        269 |          0 |         79 |        348 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Models\PaymentModels.cs                                                           | C#            |        156 |          0 |         37 |        193 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Models\ProductModels.cs                                                           | C#            |        141 |          0 |         34 |        175 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Models\StockModels.cs                                                             | C#            |        274 |          5 |         65 |        344 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Models\UserModels.cs                                                              | C#            |        104 |          0 |         21 |        125 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Program.cs                                                                        | C#            |         51 |          9 |         16 |         76 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Services\ApiService.cs                                                            | C#            |        125 |          4 |         19 |        148 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Services\AuthService.cs                                                           | C#            |         84 |          5 |         20 |        109 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Services\CariAccountService.cs                                                    | C#            |        163 |          0 |         25 |        188 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Services\PaymentService.cs                                                        | C#            |        287 |          3 |         36 |        326 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Services\ProductService.cs                                                        | C#            |        152 |          3 |         32 |        187 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Services\PurchaseInvoiceService.cs                                                | C#            |        159 |          0 |         23 |        182 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Services\SalesInvoiceService.cs                                                   | C#            |        159 |          0 |         23 |        182 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Services\StockService.cs                                                          | C#            |        399 |          0 |         44 |        443 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Services\UserService.cs                                                           | C#            |        146 |          0 |         17 |        163 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\ApiTest\Index.cshtml                                                        | ASP.NET Razor |        151 |          0 |         11 |        162 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\ApiTest\TestResult.cshtml                                                   | ASP.NET Razor |        189 |          0 |         14 |        203 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Auth\AccessDenied.cshtml                                                    | ASP.NET Razor |         22 |          0 |          2 |         24 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Auth\Login.cshtml                                                           | ASP.NET Razor |        155 |          0 |         14 |        169 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\CariAccount\Create.cshtml                                                   | ASP.NET Razor |        143 |          0 |          9 |        152 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\CariAccount\CustomerSupplierList.cshtml                                     | ASP.NET Razor |        236 |          0 |          4 |        240 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\CariAccount\Delete.cshtml                                                   | ASP.NET Razor |        134 |          0 |          6 |        140 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\CariAccount\Details.cshtml                                                  | ASP.NET Razor |        197 |          1 |         11 |        209 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\CariAccount\Edit.cshtml                                                     | ASP.NET Razor |        156 |          0 |         10 |        166 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\CariAccount\Index.cshtml                                                    | ASP.NET Razor |        303 |          0 |          9 |        312 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\CariAccount\Statement.cshtml                                                | ASP.NET Razor |        236 |          0 |         11 |        247 |
